q,imax,pmax,grid,tol,tau_eff_global,alpha_found,alpha_value,p,min_IL,ok_IL,min_IM,ok_IM,min_IR,ok_IR,Spp_approx,Spp_pass,cert_IL_L_ok,cert_IL_Lprime_ok,cert_IM_M_ok,min_margin_IL_L,min_margin_IM_M,root_count_window,min_margin_IR_quad,alpha_IR_quad_min
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,191,0.26529012896112164,True,0.2508791544914866,True,1.3686516807756811e-05,True,4.236724266096828,True,True,False,False,0.12443247707177521,0.1680687404451518,0,1.0139671024301202e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,193,0.39009167615246565,True,0.36343013863267254,True,1.2957390623403186e-05,True,3.9994693164655453,True,True,False,False,0.29083453999356723,0.3181367193000663,0,9.410544839947577e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,197,0.2946670449725167,True,0.27729572849195067,True,1.3227691129239427e-05,True,4.091253367430286,True,True,False,False,0.163601698420302,0.20329083911243717,0,9.680845345783818e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,199,0.3356053962927235,True,0.3144664975577362,True,1.3802035346166016e-05,True,4.267251207923701,True,True,False,False,0.21818616684724437,0.25285186453348457,0,1.0255189562710407e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,211,0.3848672606930246,True,0.3591437533390388,True,1.3740897856434377e-05,True,4.2440994178111895,True,True,False,False,0.2838686527143125,0.3124215389085547,0,1.0194052072978768e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,223,0.322995953221054,True,0.3027566615715651,True,1.3268298583726529e-05,True,4.101863775797871,True,True,False,False,0.2013735760850184,0.23723874988525645,0,9.72145280027092e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,227,0.22080765339746955,True,0.21004408065081942,True,1.2711220849951141e-05,True,3.9363660657446644,True,True,False,False,0.06512250965357244,0.11362197532426216,0,9.164375066495532e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,229,0.38030608020962653,True,0.354801462643672,True,1.3472509041975427e-05,True,4.1608913363871025,True,True,False,False,0.27778707873644837,0.306631817981399,0,9.925663258519818e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,233,0.2870057172405011,True,0.27025632349230405,True,1.3110357519929702e-05,True,4.055328903445259,True,True,False,False,0.1533865947776145,0.193904965779575,0,9.563511736474093e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,239,0.24037346701040863,True,0.22835142260692226,True,1.3971704123249241e-05,True,4.327787221985781,True,True,False,False,0.09121026113749117,0.13803176459906596,0,1.0424858339793632e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,241,0.4359580825459163,True,0.4054880742267209,True,1.3769770394312956e-05,True,4.248881477903002,True,True,False,False,0.351989748518168,0.3742139667587975,0,1.0222924610857347e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,251,0.2644363895817377,True,0.2501534265855908,True,1.3897837225644877e-05,True,4.302753101563118,True,True,False,False,0.12329415789926332,0.16710110323729072,0,1.0350991442189268e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,257,0.2872099375579485,True,0.2703540246518597,True,1.2924436897145135e-05,True,3.997368816830435,True,True,False,False,0.15365888853421103,0.19403523399231587,0,9.377591113689526e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,263,0.21961249459735416,True,0.20902412620042016,True,1.299492089992521e-05,True,4.0249795938871245,True,True,False,False,0.06352896458675192,0.11226203605706314,0,9.4480751164696e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,269,0.27573887149297627,True,0.26015883889884894,True,1.3510709610664555e-05,True,4.181231269335072,True,True,False,False,0.13836413378091475,0.18044165298830156,0,9.963863827208946e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,271,0.3747534949956463,True,0.349993314372651,True,1.3819327302358623e-05,True,4.269377341107025,True,True,False,False,0.2703836317844748,0.30022095362003764,0,1.0272481518903014e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,277,0.3800515081798496,True,0.3542962784954938,True,1.2760867273922528e-05,True,3.9389457667671324,True,True,False,False,0.2774476493634125,0.3059582391171613,0,9.21402149046692e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,281,0.3486024246839099,True,0.326547744596463,True,1.3947516194346863e-05,True,4.311257783091517,True,True,False,False,0.23551553803549288,0.26896019391845366,0,1.0400670410891254e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,283,0.32053924214671203,True,0.30019056283650186,True,1.2664293721289498e-05,True,3.913866618089874,True,True,False,False,0.19809796131922905,0.23381728490517212,0,9.117447937833889e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,293,0.27378218971151014,True,0.25810932944512244,True,1.2985879033693561e-05,True,4.017769081965512,True,True,False,False,0.13575522473895987,0.17770897371666616,0,9.439033250237952e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,307,0.3326912976105562,True,0.3116132625171342,True,1.3234221927582323e-05,True,4.090361814497093,True,True,False,False,0.214300701937688,0.24904755114601523,0,9.687376144126714e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,311,0.26338814146619133,True,0.24905738307267503,True,1.3636346839831622e-05,True,4.221360829429837,True,True,False,False,0.12189649374520148,0.16563971188673632,0,1.0089501056376012e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,313,0.3915164635305248,True,0.3647780400742259,True,1.3044051388457853e-05,True,4.026317231691562,True,True,False,False,0.29273425649764606,0.31993392122213743,0,9.497205605002244e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,317,0.27667837773455495,True,0.26076122267388935,True,1.2733067920753746e-05,True,3.9385067182084383,True,True,False,False,0.13961680876968627,0.18124483135502212,0,9.186222137298137e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,331,0.37057475852528093,True,0.34608729655697557,True,1.3517721821684855e-05,True,4.175667917334637,True,True,False,False,0.2648119831573209,0.2950129298658037,0,9.970876038229245e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,337,0.4113139873003811,True,0.3829810810585972,True,1.332968564220876e-05,True,4.113621879481028,True,True,False,False,0.31913095485745446,0.34420464253463257,0,9.782839858753151e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,347,0.21981316636615886,True,0.2090841900587524,True,1.2678873152590274e-05,True,3.926432249808113,True,True,False,False,0.06379652694515817,0.11234212120150616,0,9.132027369134665e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,349,0.3815593187888903,True,0.3561190221514573,True,1.3794137241455956e-05,True,4.261017980718407,True,True,False,False,0.2794580635088001,0.30838856399177933,0,1.0247291458000347e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,353,0.2896045143760322,True,0.2725178338940434,True,1.298014230411571e-05,True,4.014576237667,True,True,False,False,0.15685165762498923,0.19692031298189416,0,9.433296520660101e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,359,0.223154546206618,True,0.21268686959385208,True,1.3808564717337754e-05,True,4.278294146082902,True,True,False,False,0.06825170006577039,0.11714569391497237,0,1.0261718933882145e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,367,0.3235639912481312,True,0.3031536094344092,True,1.2914544801309326e-05,True,3.9914929677276954,True,True,False,False,0.20213096012112122,0.23776801370238193,0,9.367699017853717e-06,0.00011959906005859375
